overall_rating,rating_norm,rating_label,likes,like_sent_label,like_sent_score,dislikes,dislike_sent_label,dislike_sent_score,text_combined,text_sent_label,text_sent_score,consistency_label,rag_explanation,title,department,date
1.0,1.0,-1,"Nothing to like in this organisation
Terrible atmosphere 
If your work can complete in 9 hrs here people complete in 11 hrs bcoz late sitting is mandatory.",NEGATIVE,-1.0,"Late sitting, forcing employees to stay late
Up to 8,it is not a MNC company typical lala chap,monday to friday is only showcase they even force come Saturday or even sunday
Unnecessary work load they give if you not stay late.",NEGATIVE,-1.0,"nothing to like in this organisation terrible atmosphere if your work can complete in 9 hrs here people complete in 11 hrs bcoz late sitting is mandatory. late sitting, forcing employees to stay late up to 8,it is not a mnc company typical lala chap,monday to friday is only showcase they even force come saturday or even sunday unnecessary work load they give if you not stay late.",NEGATIVE,-1.0,GENUINE,,Assistant Manager,Engineering & Manufacturing Department,6 Jul 2023
5.0,5.0,1,i love to be a part of LG & also work here,POSITIVE,1.0,Some loop in LG like Off role employees . no any brite future for all those employees . they working in LG for many years but no any policy that they get a chance to be an ON role .,NEGATIVE,-1.0,i love to be a part of lg also work here some loop in lg like off role employees . no any brite future for all those employees . they working in lg for many years but no any policy that they get a chance to be an on role .,POSITIVE,0.5,GENUINE,,Data Analyst,Accounting & Taxation Department,5 Jul 2023
3.0,3.0,0,"Facilities are good in LG, YOGA, GYM MEDICAL FACILITY FOOD",POSITIVE,1.0,"Huge gap in salary, fresher earning much salary comparing experienced",NEGATIVE,-1.0,"facilities are good in lg, yoga, gym medical facility food huge gap in salary, fresher earning much salary comparing experienced",NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,Operations Department,3 Jul 2023
5.0,5.0,1,"Good company good salary also best company,i enjoy working in this company,The quality of the product is very good, the innovation is very good, every day you see a lot, and the company's sale is a good record.",POSITIVE,1.0,"There is nothing in the company to dislike. All the members of the company are always ready to help us in case of minor mistakes. 
That's why I have nothing to say that I dislike.",POSITIVE,1.0,"good company good salary also best company,i enjoy working in this company,the quality of the product is very good, the innovation is very good, every day you see a lot, and the company's sale is a good record. there is nothing in the company to dislike. all the members of the company are always ready to help us in case of minor mistakes. that's why i have nothing to say that i dislike.",POSITIVE,0.5,GENUINE,,Store Sales Executive,Sales Support & Operations Department,5 Jul 2023
4.0,4.0,1,Good company and good experience and good morning session you how to deal with peoples and explain the technology and best company,POSITIVE,1.0,Companies not promoting employees hiring employee to outside,NEGATIVE,-1.0,good company and good experience and good morning session you how to deal with peoples and explain the technology and best company companies not promoting employees hiring employee to outside,NEGATIVE,-0.25,INCONSISTENT,,Sales Executive,Sales Support & Operations Department,6 Jul 2023
5.0,5.0,1,"One of the best MNC, 
Good supporting from Seniors, 
LG is one and only best products and services and more, 
LG maintaing system is fantastic  for work
Have every department, like stores,STMs,Accounts,sales, service 
All have GOOD.",POSITIVE,1.0,No Dislikes,POSITIVE,1.0,"one of the best mnc, good supporting from seniors, lg is one and only best products and services and more, lg maintaing system is fantastic for work have every department, like stores,stms,accounts,sales, service all have good. no dislikes",POSITIVE,1.0,GENUINE,,Jr. Accountant,Finance Department,1 Jul 2023
5.0,5.0,1,I loved working here. I was treated fairly. Everyone was so friendly and very focused on work-life balance. Benefits were great. Easy and chill environment.,POSITIVE,1.0,I like LG,POSITIVE,1.0,i loved working here. i was treated fairly. everyone was so friendly and very focused on work-life balance. benefits were great. easy and chill environment. i like lg,POSITIVE,1.0,GENUINE,,Service Engineer,After Sales Service & Repair Department,7 Jun 2023
3.0,3.0,0,Most of all system are on line which reduced manual report preparation,NEGATIVE,-1.0,"Any report  we have to make, given at last moment & expected to be completed flawlessly 
For which Staff have to do Over time which reduced time to spend with Family
Staff also expected to give it there all but have strict budget which causes any required material to purchase in improving the Line for KPI achievement hard.",NEGATIVE,-1.0,"most of all system are on line which reduced manual report preparation any report we have to make, given at last moment expected to be completed flawlessly for which staff have to do over time which reduced time to spend with family staff also expected to give it there all but have strict budget which causes any required material to purchase in improving the line for kpi achievement hard.",NEGATIVE,-0.25,AMBIGUOUS,,Senior Engineer,"Operations, Maintenance & Support Department",2 Jun 2023
3.0,3.0,0,"It was different earlier, when performance was well rewarded.",POSITIVE,1.0,"Incentives and bonuses have gone down drastically over the last 3-4 years. No work life balance. Practically working 365 days a year, bcoz u have to be available on call from 9AM to 10PM in the night till the retail stores close.",NEGATIVE,-1.0,"it was different earlier, when performance was well rewarded. incentives and bonuses have gone down drastically over the last 3-4 years. no work life balance. practically working 365 days a year, bcoz u have to be available on call from 9am to 10pm in the night till the retail stores close.",NEGATIVE,-0.5,AMBIGUOUS,,Area Manager,Retail & B2C Sales Department,0 Jun 2023
1.0,1.0,-1,"Nothing much, even if anything good happens the bad part counter them all.",NEGATIVE,-1.0,"No work life balance
HR team is totally ignorant and support only the old employees or managers
Late sittings and working on holidays are regular.
No clear briefing of company policies in safeguarding the employees from harassment and over hours of working.
Senior management have no modesty while speaking, they use cheap abusives inregular meetings and greetings.
Managers alaways threaten you with year end ratings and bonus inorder to exploit you to work more
Manager/ senior ask cheap and personal questions when asked to approved leaves.
Empoloyee retention is really poor due to all these facts.
KPI achievements are counted on the basis of how many days you worked from 6pm to 8 pm and during off days rather than how well you performed during regular  working hours and days.
New employess and recruita are treated as daily wager with no reapect of theire personal space and time....Read More",NEGATIVE,-1.0,"nothing much, even if anything good happens the bad part counter them all. no work life balance hr team is totally ignorant and support only the old employees or managers late sittings and working on holidays are regular. no clear briefing of company policies in safeguarding the employees from harassment and over hours of working. senior management have no modesty while speaking, they use cheap abusives inregular meetings and greetings. managers alaways threaten you with year end ratings and bonus inorder to exploit you to work more manager/ senior ask cheap and personal questions when asked to approved leaves. empoloyee retention is really poor due to all these facts. kpi achievements are counted on the basis of how many days you worked from 6pm to 8 pm and during off days rather than how well you performed during regular working hours and days. new employess and recruita are treated as daily wager with no reapect of theire personal space and time....read more",NEGATIVE,-1.0,GENUINE,,Senior Engineer RAC Development,Engineering & Manufacturing Department,7 Jun 2023
4.0,4.0,1,Systems and processes,POSITIVE,1.0,Work life balance and work culture,POSITIVE,1.0,systems and processes work life balance and work culture,POSITIVE,0.75,GENUINE,,Team Manager,Accounting & Taxation Department,7 Sep 2023
1.0,1.0,-1,Nothing,NEGATIVE,-1.0,"Carrier growth is not as per market and other companies. No week off, 7 days working from morning 8.30 to 9.00 pm",NEGATIVE,-1.0,"nothing carrier growth is not as per market and other companies. no week off, 7 days working from morning 8.30 to 9.00 pm",NEGATIVE,-1.0,GENUINE,,Customer Care Officer,Customer service Department,6 Sep 2023
4.0,4.0,1,"Support from seniors, Fast pace work culture, freedom of decision making.",POSITIVE,1.0,"Zero Work Life balance,",NEGATIVE,-1.0,"support from seniors, fast pace work culture, freedom of decision making. zero work life balance,",NEUTRAL,0.0,AMBIGUOUS,,Key,Enterprise & B2B Sales Department,5 Sep 2023
3.0,3.0,0,Job Security,POSITIVE,1.0,Poor promotions and appraisal system,NEGATIVE,-1.0,job security poor promotions and appraisal system,NEUTRAL,0.0,AMBIGUOUS,,Product Planning,Marketing Department,4 Sep 2023
4.0,4.0,1,"Great work environment 
Understanding leaders",POSITIVE,1.0,Timings,POSITIVE,1.0,great work environment understanding leaders timings,POSITIVE,0.75,GENUINE,,Senior Executive Ii,Accounting & Taxation Department,2 Sep 2023
2.0,2.0,-1,Job security,POSITIVE,1.0,"Work life balance, Growth",POSITIVE,1.0,"job security work life balance, growth",POSITIVE,0.5,INCONSISTENT,,"Assistant Manager NPD, NPI Quality Assurance",Quality Assurance and Testing Department,1 Sep 2023
4.0,4.0,1,Salary and benefits,POSITIVE,1.0,Improper training,NEGATIVE,-1.0,salary and benefits improper training,NEUTRAL,0.0,AMBIGUOUS,,Billing Executive,Back Office Department,1 Sep 2023
5.0,5.0,1,I have learn lot things in this vth this I have build my career 😊😇,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,i have learn lot things in this vth this i have build my career nothing,NEUTRAL,0.0,AMBIGUOUS,,Cco   (working remotely),Operations Support Department,1 Sep 2023
5.0,5.0,1,It has good work life balance .,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,it has good work life balance . nothing,NEGATIVE,-0.25,INCONSISTENT,,Engineer Trainee,Engineering Department,0 Sep 2023
4.0,4.0,1,Fast decision making and execution,POSITIVE,1.0,Unclear cascade of vision and direction,NEGATIVE,-1.0,fast decision making and execution unclear cascade of vision and direction,NEUTRAL,0.0,AMBIGUOUS,,Leader - Promoter,Corporate Training Department,9 Sep 2023
1.0,1.0,-1,Company policies are good.,POSITIVE,1.0,Company policies are good but you cannot use them. Bosses treated employees like nothing.,NEGATIVE,-1.0,company policies are good. company policies are good but you cannot use them. bosses treated employees like nothing.,NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,DevOps Department,8 Sep 2023
5.0,5.0,1,Treating and customer satisfaction,POSITIVE,1.0,Time limit of working,NEGATIVE,-1.0,treating and customer satisfaction time limit of working,POSITIVE,0.5,GENUINE,,Field Worker,Engineering Department,7 Sep 2023
2.0,2.0,-1,On time salary,POSITIVE,1.0,No personal life .. there is no life good,NEGATIVE,-1.0,on time salary no personal life .. there is no life good,NEGATIVE,-0.25,GENUINE,,LGC Manager,After Sales Service & Repair Department,6 Sep 2023
4.0,4.0,1,Work life balance was good,POSITIVE,1.0,No carrer growth,NEGATIVE,-1.0,work life balance was good no carrer growth,NEGATIVE,-0.25,INCONSISTENT,,Deputy Manager,Finance Department,5 Sep 2023
5.0,5.0,1,Very interested in makes all her products so  i can like,POSITIVE,1.0,Very faithfully products so can not dis like lg electronics,POSITIVE,1.0,very interested in makes all her products so i can like very faithfully products so can not dis like lg electronics,POSITIVE,1.0,GENUINE,,Qa Qc Engineer,Construction / Manufacturing Department,4 Sep 2023
4.0,4.0,1,Technician job,POSITIVE,1.0,Ac technician Sir job,POSITIVE,1.0,technician job ac technician sir job,POSITIVE,0.75,GENUINE,,Ac Technician   (working remotely),Life Insurance Department,4 Sep 2023
4.0,4.0,1,Salary on time,POSITIVE,1.0,Sales pressure,NEGATIVE,-1.0,salary on time sales pressure,POSITIVE,0.25,GENUINE,,Supply Chain Manager,Stores & Material Management Department,4 Sep 2023
5.0,5.0,1,Yes,POSITIVE,1.0,Working  day by day Account executive,NEUTRAL,0.0,yes working day by day account executive,POSITIVE,0.75,GENUINE,,Accounts Payable Accountant,Finance Department,0 Aug 2023
5.0,5.0,1,Salary on time,POSITIVE,1.0,Yearly increment,NEUTRAL,0.0,salary on time yearly increment,POSITIVE,0.5,GENUINE,,Senior Sales Executive,Retail & B2C Sales Department,9 Aug 2023
5.0,5.0,1,Iti electronic  soldering opretor,NEGATIVE,-1.0,Iti electronic soldering opretor ka Kam aata hai,NEGATIVE,-1.0,iti electronic soldering opretor iti electronic soldering opretor ka kam aata hai,NEGATIVE,-0.25,INCONSISTENT,,Management Trainee   (working remotely),Operations Department,8 Sep 2023
5.0,5.0,1,"💯
LG company 6year",POSITIVE,1.0,6year LG company job,POSITIVE,1.0,lg company 6year 6year lg company job,POSITIVE,1.0,GENUINE,,6 Year LG Company Square Service Store Part Aur Pak Department,Hardware Department,2 Sep 2023
4.0,4.0,1,Learning of business practices,POSITIVE,1.0,Work life balance was a major concern,POSITIVE,1.0,learning of business practices work life balance was a major concern,POSITIVE,0.5,GENUINE,,Area Sales Manager,Sales Support & Operations Department,2 Aug 2023
5.0,5.0,1,Job security with fair policy,POSITIVE,1.0,Nothing else,NEGATIVE,-1.0,job security with fair policy nothing else,NEGATIVE,-0.5,INCONSISTENT,,Area Manager,System air conditioning  Department,2 Aug 2023
5.0,5.0,1,Store work is good appraisal is good all siners is good 👍,POSITIVE,1.0,No problem is good,POSITIVE,1.0,store work is good appraisal is good all siners is good no problem is good,POSITIVE,0.5,GENUINE,,Store Sales Executive,Marketing Department,2 Aug 2023
4.0,4.0,1,Ok no likes for the company,NEUTRAL,0.0,Ok no dislikes for the company,POSITIVE,1.0,ok no likes for the company ok no dislikes for the company,NEUTRAL,0.0,AMBIGUOUS,,Intern,Data Science & Machine Learning Department,2 Aug 2023
3.0,3.0,0,Tough environment is good for freshers,POSITIVE,1.0,"No stipend, Lack of defined KPI",NEGATIVE,-1.0,"tough environment is good for freshers no stipend, lack of defined kpi",NEGATIVE,-0.25,AMBIGUOUS,,Intern,Production & Manufacturing Department,0 Aug 2023
5.0,5.0,1,Fantastic,POSITIVE,1.0,Not given growth internally,NEGATIVE,-1.0,fantastic not given growth internally,NEUTRAL,0.0,AMBIGUOUS,,Sales Officer,Retail & B2C Sales Department,9 Aug 2023
4.0,4.0,1,Facilities are good LG company,POSITIVE,1.0,Third party involved is not better,NEGATIVE,-1.0,facilities are good lg company third party involved is not better,POSITIVE,0.25,GENUINE,,Data Entry Operator,Back Office Department,3 Aug 2023
4.0,4.0,1,"Everything is aligned with system, helpful colleagues and motivation with various tools",POSITIVE,1.0,Xtream work pressure,NEGATIVE,-1.0,"everything is aligned with system, helpful colleagues and motivation with various tools xtream work pressure",POSITIVE,0.5,GENUINE,,Branch Marketing Associate,Marketing Department,7 Aug 2023
5.0,5.0,1,"Everything (culture, work-life balance, learning, freedom of speech and work satisfaction.",POSITIVE,1.0,Nothing,NEGATIVE,-1.0,"everything (culture, work-life balance, learning, freedom of speech and work satisfaction. nothing",NEUTRAL,0.0,AMBIGUOUS,,Manager,Sales Support & Operations Department,5 Aug 2023
5.0,5.0,1,LG is good company with good work culture,POSITIVE,1.0,Nothing to dislike,POSITIVE,1.0,lg is good company with good work culture nothing to dislike,POSITIVE,0.75,GENUINE,,Assistant Manager,Retail & B2C Sales Department,5 Aug 2023
3.0,3.0,0,Reliable is too much and trust workers they have experience in technical support engineer.,POSITIVE,1.0,No one challenge there team.,NEGATIVE,-1.0,reliable is too much and trust workers they have experience in technical support engineer. no one challenge there team.,NEGATIVE,-0.5,AMBIGUOUS,,Forklift Operator,Port & Maritime Operations Department,3 Aug 2023
4.0,4.0,1,Large platform to learn.,POSITIVE,1.0,Regular work from office culture.,POSITIVE,1.0,large platform to learn. regular work from office culture.,POSITIVE,0.25,GENUINE,,Product Area Manager,Enterprise & B2B Sales Department,0 Aug 2023
4.0,4.0,1,System oriented company. Leader in segments and customer service.,POSITIVE,1.0,Pay not in par with Industry.,NEGATIVE,-1.0,system oriented company. leader in segments and customer service. pay not in par with industry.,NEUTRAL,0.0,AMBIGUOUS,,Sales,Operations Support Department,0 Aug 2023
3.0,3.0,0,Hand on learning,POSITIVE,1.0,"No work life balance. 
Work culture not good.",NEGATIVE,-1.0,hand on learning no work life balance. work culture not good.,NEGATIVE,-0.25,AMBIGUOUS,,Get,Engineering & Manufacturing Department,0 Aug 2023
5.0,5.0,1,I like in LG because it's gives the chance for improve your skill.,POSITIVE,1.0,LG is very documents work.,POSITIVE,1.0,i like in lg because it's gives the chance for improve your skill. lg is very documents work.,POSITIVE,0.5,GENUINE,,Sr Engineer 2,PCB production  Department,6 Aug 2023
4.0,4.0,1,"Good paymaster , timely salary",POSITIVE,1.0,"No work life balance, you have to carry your laptop even if you are on leave",NEGATIVE,-1.0,"good paymaster , timely salary no work life balance, you have to carry your laptop even if you are on leave",NEGATIVE,-0.25,INCONSISTENT,,Branch Accounts Manager,Finance Department,6 Aug 2023
4.0,4.0,1,The speed of Work Style in every Category,POSITIVE,1.0,Work Never Ends.,NEGATIVE,-1.0,the speed of work style in every category work never ends.,NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,Retail & B2C Sales Department,6 Aug 2023
5.0,5.0,1,"iam comfort the LG company,good support for employees",POSITIVE,1.0,no anyone for disadvantage in LG company.,NEUTRAL,0.0,"iam comfort the lg company,good support for employees no anyone for disadvantage in lg company.",NEGATIVE,-0.25,INCONSISTENT,,Sales Officer,Retail & B2C Sales Department,6 Aug 2023
5.0,5.0,1,Inbound nd outbound  working,POSITIVE,1.0,Nothing forver,NEGATIVE,-1.0,inbound nd outbound working nothing forver,NEGATIVE,-0.5,INCONSISTENT,,Supervisor,Administration & Staff Department,6 Aug 2023
3.0,3.0,0,"Aggression
Brand strength",POSITIVE,1.0,"Work life balance 
Domination by boss abusive languages",NEGATIVE,-1.0,aggression brand strength work life balance domination by boss abusive languages,NEUTRAL,0.0,AMBIGUOUS,,Product Head,BD / Pre Sales Department,6 Aug 2023
3.0,3.0,0,Like to have for knowledge improvement,POSITIVE,1.0,Poor management,NEGATIVE,-1.0,like to have for knowledge improvement poor management,NEGATIVE,-0.25,AMBIGUOUS,,Service Engineer,After Sales Service & Repair Department,4 Aug 2023
3.0,3.0,0,Nothing becouse ther management not supported,NEGATIVE,-1.0,Everything,POSITIVE,1.0,nothing becouse ther management not supported everything,NEUTRAL,0.0,AMBIGUOUS,,Mis Analyst,After Sales Service & Repair Department,4 Aug 2023
5.0,5.0,1,I like a lg electronics company.,POSITIVE,1.0,Lg electronics company not incentive employee,NEGATIVE,-1.0,i like a lg electronics company. lg electronics company not incentive employee,NEUTRAL,0.0,AMBIGUOUS,,Quality Inspector,Engineering Department,3 Aug 2023
2.0,2.0,-1,Discount on Home appliances,POSITIVE,1.0,"Demoralisation inspite of best results. Too much internal politics, no work life balance",NEGATIVE,-1.0,"discount on home appliances demoralisation inspite of best results. too much internal politics, no work life balance",NEGATIVE,-0.5,GENUINE,,"Deputy Manager -Training & Application Engineering, Pune",Engineering & Manufacturing Department,3 Aug 2023
4.0,4.0,1,Good for work but not for work life balance.,POSITIVE,1.0,Excess work load,NEGATIVE,-1.0,good for work but not for work life balance. excess work load,NEGATIVE,-0.5,INCONSISTENT,,Branch Accounts Manager,Accounting & Taxation Department,2 Aug 2023
2.0,2.0,-1,Salary on time always,POSITIVE,1.0,So many internal politics and groupism in branch level .,POSITIVE,1.0,salary on time always so many internal politics and groupism in branch level .,POSITIVE,0.25,INCONSISTENT,,Shop Manager In Brand Store,Retail Store Operations Department,2 Aug 2023
1.0,1.0,-1,Salary and rewards are very good.,POSITIVE,1.0,Life is LG is very terrible.,NEGATIVE,-1.0,salary and rewards are very good. life is lg is very terrible.,NEUTRAL,0.0,AMBIGUOUS,,Deputy Manager,Retail & B2C Sales Department,1 Aug 2023
4.0,4.0,1,It is one of the best places i have worked in and i gained more experience inside it,POSITIVE,1.0,Work more time to achieve the company's goals,NEGATIVE,-1.0,it is one of the best places i have worked in and i gained more experience inside it work more time to achieve the company's goals,POSITIVE,1.0,GENUINE,,Design Engineer Mechanical,Engineering & Manufacturing Department,1 Aug 2023
5.0,5.0,1,Actually I'm hered about Excellent peace of working here. Now I want to getting the opportunity from this company as soon as well.,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,actually i'm hered about excellent peace of working here. now i want to getting the opportunity from this company as soon as well. nothing,NEUTRAL,0.0,AMBIGUOUS,,Diploma Engineer,Engineering Department,1 Jul 2023
5.0,5.0,1,Skill development company culture knowledge job security  work satisfaction,POSITIVE,1.0,Time issue and nothing else,NEGATIVE,-1.0,skill development company culture knowledge job security work satisfaction time issue and nothing else,NEUTRAL,0.0,AMBIGUOUS,,Center Manager,Administration & Staff Department,1 Jul 2023
5.0,5.0,1,Good care of employees,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,good care of employees nothing,NEGATIVE,-0.25,INCONSISTENT,,Assistant General Manager Sales,Enterprise & B2B Sales Department,1 Jul 2023
3.0,3.0,0,Product knowledge,POSITIVE,1.0,Work life balance,POSITIVE,1.0,product knowledge work life balance,POSITIVE,0.75,AMBIGUOUS,,Product Marketing Manager,Marketing Department,0 Jul 2023
5.0,5.0,1,"Company benefits
New learning skill
Self development",POSITIVE,1.0,Work life balance,POSITIVE,1.0,company benefits new learning skill self development work life balance,POSITIVE,0.75,GENUINE,,Manager,Facility Management Department,9 Jul 2023
5.0,5.0,1,ok,POSITIVE,1.0,another pressure  this company,NEGATIVE,-1.0,ok another pressure this company,NEGATIVE,-0.5,INCONSISTENT,,Senior Sales Executive,Retail & B2C Sales Department,9 Jul 2023
5.0,5.0,1,"Working environment is good,",POSITIVE,1.0,Skill development and salary benefit are poor.,NEGATIVE,-1.0,"working environment is good, skill development and salary benefit are poor.",NEUTRAL,0.0,AMBIGUOUS,,Data Analyst,Business Intelligence & Analytics Department,9 Jul 2023
3.0,3.0,0,Business Driven with detailing of work,POSITIVE,1.0,"Work Culture
HR Policies",NEUTRAL,0.0,business driven with detailing of work work culture hr policies,POSITIVE,0.5,AMBIGUOUS,,Deputy Manager,Marketing Department,8 Jul 2023
